81,130,79,53,111,166,166
82,86,208,38,65,237,237
83,7,58,38,121,237,237
84,71,39,21,163,164,164
85,100,149,213,224,203,203
86,82,232,103,76,237,237
87,134,137,169,136,197,197
88,75,180,132,77,92,92
89,73,80,136,134,95,95
90,216,128,100,171,155,155
91,191,31,61,13,181,181
92,201,88,47,96,154,154
93,220,41,138,239,6,6
94,115,28,226,22,76,76
95,125,14,10,119,89,89
96,201,144,35,92,154,154
97,153,231,179,198,204,204
98,88,77,26,128,6,6
99,78,70,105,104,9,9
100,149,88,202,90,3,3
101,114,124,72,133,84,84
102,179,162,124,232,114,114
103,8,131,106,10,76,76
104,185,78,105,70,6,6
105,70,78,9,104,99,99
106,103,4,43,10,8,8
107,117,132,194,52,49,49
108,196,128,178,182,132,132
109,37,31,113,181,154,154
110,30,215,35,32,24,24
111,130,136,166,197,79,79
112,39,72,124,21,66,66
113,31,40,181,37,154,154
114,101,238,234,152,164,164
115,94,149,100,27,22,22
116,174,129,172,198,101,101
117,52,107,194,132,49,49
118,138,165,142,157,41,41
119,62,95,43,10,14,14
120,107,132,117,194,49,49
121,38,63,36,29,58,58
122,215,164,114,84,163,163
123,188,175,184,183,147,147
124,72,66,112,101,159,159
125,95,14,10,170,84,84
126,40,22,48,183,186,186
127,1,33,15,163,21,21
128,108,90,88,182,178,178
129,173,146,172,135,116,116
130,111,79,136,166,53,53
131,103,71,11,76,10,10
132,49,52,107,117,194,194
133,205,159,135,141,173,173
134,136,169,87,197,73,73
135,205,173,172,133,129,129
136,111,130,197,134,166,166
137,87,166,169,81,134,134
138,118,165,233,41,195,195
139,61,24,42,164,227,227
140,176,159,145,124,135,135
141,133,12,159,58,84,84
142,118,178,100,143,144,144
143,216,157,41,207,138,138
144,96,171,100,216,142,142
145,159,205,140,152,133,133
146,198,173,129,172,205,205
147,184,172,24,61,25,25
148,150,212,211,79,53,53
149,100,115,85,202,20,20
150,148,212,211,81,193,193
151,25,210,135,140,174,174
152,68,200,164,84,238,238
153,97,231,179,198,237,237
154,26,181,113,31,201,201
155,222,180,50,49,196,196
156,16,204,198,202,86,86
157,158,41,19,138,233,233
158,19,41,157,233,195,195
159,140,133,145,124,205,205
160,198,231,84,10,95,95
161,190,225,35,74,47,47
162,208,102,34,164,58,58
163,33,21,39,84,71,71
164,42,56,84,55,34,34
165,118,138,202,233,41,41
166,130,111,136,197,79,79
167,84,42,147,63,164,164
168,177,68,208,63,116,116
169,134,87,197,137,166,166
170,14,234,164,237,23,23
171,216,185,201,196,144,144
172,135,205,147,173,164,164
173,135,205,172,146,198,198
174,116,25,172,187,210,210
175,123,188,63,183,184,184
176,140,159,168,116,167,167
177,172,168,72,124,205,205
178,182,108,128,142,196,196
179,102,153,162,97,59,59
180,88,155,132,49,222,222
181,31,113,154,37,109,109
182,178,108,88,46,128,128
183,188,63,126,186,123,123
184,147,123,139,228,167,167
185,104,6,18,70,171,171
186,192,187,61,139,25,25
187,192,186,174,139,68,68
188,183,123,175,63,58,58
189,237,64,85,203,16,16
190,225,74,161,35,239,239
191,61,91,210,186,25,25
192,187,186,68,139,230,230
193,211,212,69,218,223,223
194,117,107,222,49,132,132
195,233,138,41,19,158,158
196,108,155,50,49,44,44
197,136,111,130,134,166,166
198,146,173,133,129,205,205
199,116,219,42,221,214,214
200,152,164,42,84,124,124
201,47,92,154,96,171,171
202,233,100,16,209,219,219
203,220,213,93,235,85,85
204,198,103,4,156,146,146
205,135,172,173,133,84,84
206,227,221,220,239,164,164
207,50,44,196,222,194,194
208,82,221,162,168,219,219
209,224,233,158,202,16,16
210,25,151,61,191,174,174
211,212,193,69,218,223,223
212,211,193,69,218,223,223
213,203,220,85,239,99,99
214,45,124,215,24,152,152
215,32,24,30,40,238,238
216,171,143,90,196,155,155
217,68,94,36,38,59,59
218,223,212,211,69,193,193
219,3,232,82,208,237,237
220,93,227,239,164,203,203
221,206,227,164,42,208,208
222,155,194,117,49,180,180
223,218,69,212,211,193,193
224,209,235,3,237,220,220
225,190,161,74,35,181,181
226,28,13,238,94,127,127
227,206,220,24,164,42,42
228,184,186,192,123,168,168
229,3,219,224,157,100,100
230,192,139,152,184,61,61
231,198,153,160,97,146,146
232,238,76,86,36,152,152
233,195,138,158,41,209,209
234,170,14,164,95,133,133
235,224,233,220,209,93,93
236,31,40,183,232,215,215
237,164,55,64,23,170,170
238,232,215,152,114,159,159
239,220,227,164,78,221,221
